Munic?pio,confirmed,deaths,estimated_population_2019,indice de Gini,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educacao 2010
Araquari,26,0,38129,"0,4134","0,703","0,696","0,83","0,602"
Arara,13,0,13470,"0,5461","0,548","0,569","0,712","0,407"
Ararangu?,66,2,68228,"0,4576","0,76","0,745","0,853","0,691"
Araraquara,232,4,236072,"0,5039","0,815","0,788","0,877","0,782"
Araras,106,3,134236,"0,4815","0,781","0,763","0,859","0,728"
Ararend?,2,1,10935,"0,5392","0,59","0,522","0,763","0,516"
Arari,55,2,29848,"0,5669","0,626","0,587","0,764","0,546"
Araripe,2,0,21600,"0,5594","0,564","0,515","0,759","0,459"
Araripina,43,3,84418,"0,5653","0,602","0,595","0,785","0,467"
Araruama,109,26,132400,"0,5495","0,718","0,714","0,839","0,617"
Araruna,2,0,20312,"0,5302","0,567","0,549","0,758","0,439"
Araruna,16,1,13970,"0,5302","0,567","0,549","0,758","0,439"
Arataca,2,0,11019,"0,4706","0,559","0,557","0,758","0,413"
Aratuba,18,0,11847,"0,4877","0,622","0,53","0,775","0,587"
Aratu?pe,2,0,8825,"0,529","0,575","0,57","0,753","0,443"
Arau?,4,3,10056,"0,5104","0,595","0,55","0,783","0,49"
Arauc?ria,58,0,143843,"0,4637","0,74","0,743","0,852","0,639"
Arax?,107,2,106229,"0,4844","0,772","0,756","0,858","0,709"
Arceburgo,5,0,10772,"0,3794","0,683","0,687","0,81","0,573"
Arcos,24,0,40092,"0,4372","0,749","0,717","0,874","0,671"
Arcoverde,105,12,74338,"0,597","0,667","0,654","0,799","0,567"
Areal,14,0,12572,"0,487","0,684","0,686","0,823","0,566"
Arealva,1,0,8560,"0,4514","0,744","0,718","0,84","0,683"
Areia,54,1,22819,"0,5495","0,594","0,593","0,756","0,467"
Areia Branca,198,16,27774,"0,4815","0,682","0,647","0,79","0,621"
Areia Branca,39,0,18542,"0,4815","0,682","0,647","0,79","0,621"
Areia de Bara?nas,1,0,2128,"0,4622","0,562","0,566","0,68","0,462"
Areial,9,0,6998,"0,4917","0,608","0,573","0,779","0,503"
Arei?polis,10,2,11129,"0,3658","0,695","0,686","0,823","0,594"
Aren?polis,1,0,9607,"0,4742","0,704","0,677","0,793","0,649"
Ar?s,5,0,14306,"0,5315","0,606","0,587","0,725","0,523"
Aripuan?,25,1,22354,"0,5827","0,675","0,682","0,816","0,553"
Ariquemes,320,4,107863,"0,5496","0,702","0,716","0,806","0,6"
Ariranha,2,0,9668,"0,403","0,733","0,73","0,813","0,663"
Arma??o dos B?zios,39,1,33870,"0,5462","0,728","0,75","0,824","0,624"
Armaz?m,26,0,8674,"0,4432","0,77","0,743","0,882","0,698"
Arneiroz,19,0,7840,"0,5309","0,618","0,565","0,74","0,564"
Aroazes,1,0,5835,"0,5281","0,583","0,563","0,752","0,468"
Aroeiras,23,0,19153,"0,5825","0,548","0,537","0,745","0,411"
Arraial do Cabo,38,4,30349,"0,4808","0,733","0,722","0,805","0,677"
Arraias,0,0,10567,"0,6146","0,651","0,636","0,829","0,523"
Arroio do Meio,95,0,20805,"0,358","0,769","0,75","0,86","0,706"
Arroio do Sal,11,1,10065,"0,4748","0,74","0,74","0,844","0,649"
Arroio dos Ratos,8,1,14151,"0,4788","0,698","0,7","0,833","0,583"
Arroio Grande,1,0,18293,"0,5088","0,657","0,673","0,807","0,522"
Artur Nogueira,22,1,54408,"0,4709","0,749","0,745","0,827","0,681"
Aruj?,248,18,89824,"0,5769","0,784","0,761","0,866","0,73"
Arvoredo,10,1,2240,"0,3643","0,715","0,713","0,842","0,61"
Arvorezinha,1,0,10424,"0,4171","0,694","0,713","0,817","0,575"
Ascurra,1,0,7934,"0,3523","0,742","0,739","0,868","0,636"
